id;Pedido;Cliente;DATA_PEDIDO;DTA_CRIA_OM;DTA_LIBERACAO_CREDITO;DATA_EST_PICK;STATUS;DATA_GERACAO_NF;DAT_MINUTA;Editora;sku;volume;peso;valor;NF
SCI1367939;1367939;LIVROMAT LIVRARIA E PAPELARIA LTDA - EPP;;;;;BLOQUEADO;;;SCIPIONE;18;345;171,065;20992,16;Em Conferencia
SCI1369881;1369881;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;;;BLOQUEADO;;;SCIPIONE;36;789;366,79;17786,2;0
SCI1374860;1374860;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;1;180;35,1;3304,8;0
SCI1375213;1375213;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;3;475;73,275;7395;0
SCI1375278;1375278;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;3;164;25,46;2558,6;0
SCI1347825;1347825;LIVRARIA LIVRO FACIL LTDA;;;;11/11/2016;CANCELADO;;;SCIPIONE;1;1;0,11;22,74;0
SCI1376805;1376805;IRAN AZEVEDO & MAURICIO ROCHA - PAPELARIA LTDA - M;;;;;BLOQUEADO;;;SCIPIONE;17;1010;613,7;59149,8;Em Conferencia
SCI1375111;1375111;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;3;150;27,6;2526;0
SCI1384966;1384966;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;2;116;18,26;1734,4;0
SCI1374949;1374949;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;1;45;8,775;826,2;0
SCI1355698;1355698;COL GUARULHENSE EDUCACAO INF ENS FUNDAMENTAL LTDA;;;;;BLOQUEADO;;;SCIPIONE;1;1;0,15;26,7;0
SCI1367626;1367626;SISTEMA P H DE ENSINO LTDA;;;;;BLOQUEADO;;;SCIPIONE;11;772;181,909;18561,09;Em Conferencia
SCI1385282;1385282;GALLAFASSI EDITORA E DISTRIBUIDORA LTDA.;;;05/01/2017;;BLOQUEADO;;;SCIPIONE;25;285;124,834;9629,35;0
SCI1385516;1385516;ABC DISTRIBUIDORA DE LIVROS LTDA - ME;;;05/01/2017;;BLOQUEADO;;;SCIPIONE;25;250;32,08;5055,93;0
SCI1385258;1385258;EDITORA WMF MARTINS FONTES LTDA;;;05/01/2017;05/01/2017;NÇO PLANEJADO;;;SCIPIONE;2;4;0,63;97,65;Em Separa‡Æo
SCI1375062;1375062;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;3;125;23,25;2107;0
SCI1375094;1375094;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;3;401;69,36;6673;0
SCI1385340;1385340;LIVRARIA LIVRO FACIL LTDA;;;05/01/2017;05/01/2017;NÇO PLANEJADO;;;SCIPIONE;12;60;32,755;3582,04;Em Separa‡Æo
SCI1374929;1374929;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;1;148;28,86;2717,28;0
SCI1385600;1385600;DISAL SA DISTRIBUIDORES ASSOCIADOS DE LIVROS;;;05/01/2017;;NÇO PLANEJADO;;;SCIPIONE;18;22;17,585;1438,81;0
SCI1374915;1374915;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;1;65;12,675;1193,4;0
SCI1385524;1385524;A. J. P. TOSTA - ME;;;05/01/2017;;NÇO PLANEJADO;;;SCIPIONE;5;13;4,485;751,05;0
SCI1367474;1367474;CENTRO EDUCACIONAL IDEAL LTDA. - EPP;;;;;BLOQUEADO;;;SCIPIONE;3;385;64,47;9901,5;Em Conferencia
SCI1375121;1375121;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;3;265;45,45;4397;0
SCI1346306;1346306;INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCI;;;01/11/2016;;BLOQUEADO;;;SCIPIONE;2;110;12,5;3272,5;0
SCI1354921;1354921;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;21/11/2016;;BLOQUEADO;;;SCIPIONE;4;1040;3718;141925,68;0
SCI1375061;1375061;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;3;210;36,3;3498;0
SCI1338644;1338644;ELDORADO BOOKS LIVRARIA LTDA;;;;;BLOQUEADO;;;SCIPIONE;3;10;1,47;304,64;0
SCI1347850;1347850;DISTRIBUIDORA LOYOLA DE LIVROS LTDA - ME;;;;;BLOQUEADO;;;SCIPIONE;4;7;1,995;246,58;0
SCI1385041;1385041;OCEANO LIVRARIA E PAPELARIA EIRELI - EPP;;;04/01/2017;;BLOQUEADO;;;SCIPIONE;1;2;0,39;64,26;0
SCI1375100;1375100;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;SCIPIONE;3;177;31,2;2953,8;0
SCI1346364;1346364;BAZAR PAPIDEL LTDA;;;01/11/2016;01/11/2016;FINALIZADO;02/11/2016;03/11/2016;SCIPIONE;1;1;0,11;28,48;98160
SCI1346889;1346889;EMPREENDIMENTOS EDUCACIONAIS MONTESSORIANO LTDA - ;;;;07/11/2016;FINALIZADO;07/11/2016;08/11/2016;SCIPIONE;2;2;0,873;8,24;98282
SCI1347959;1347959;CHEN YINTSU;;;;11/11/2016;FINALIZADO;12/11/2016;14/11/2016;SCIPIONE;1;1;1,675;193;98404
SCI1347906;1347906;CURSO E COLEGIO SUL PAULISTA LTDA - EPP;;;16/11/2016;16/11/2016;FINALIZADO;17/11/2016;17/11/2016;SCIPIONE;40;41;5,203;863,64;98453
SCI1347338;1347338;LIVRARIA E PAPELARIA PSICO CULTURAL LTDA - EPP;;;;16/11/2016;FINALIZADO;17/11/2016;17/11/2016;SCIPIONE;1;1;0,11;25,39;98464
SCI1354729;1354729;LIVRARIA DA FOLHA LTDA.;;;18/11/2016;18/11/2016;FINALIZADO;19/11/2016;21/11/2016;SCIPIONE;9;10;8,095;664,91;98517
SCI1355443;1355443;EDUCANDARIO SANTO ANTONIO LTDA. - EPP;;;;23/11/2016;FINALIZADO;24/11/2016;25/11/2016;SCIPIONE;2;4;1,746;16,48;98646
SCI1355789;1355789;COLEGIO ADOLFO WESSEL KARELUXE EDUCACAO INFANTIL E;;;;24/11/2016;FINALIZADO;25/11/2016;28/11/2016;SCIPIONE;2;2;0,873;8,24;98724
SCI1359430;1359430;LIVRARIA LIVRO FACIL LTDA;;;29/11/2016;29/11/2016;FINALIZADO;30/11/2016;30/11/2016;SCIPIONE;6;308;222,98;18530,48;98833
SCI1355258;1355258;B2W COMPANHIA DIGITAL;;;02/12/2016;02/12/2016;FINALIZADO;06/12/2016;13/12/2016;SCIPIONE;43;807;341,652;48329,77;98961
SCI1369618;1369618;SARAIVA E SICILIANO S/A;;;09/12/2016;11/12/2016;FINALIZADO;12/12/2016;15/12/2016;SCIPIONE;7;44;26,615;2791,86;99121
SCI1368434;1368434;KRAUSS & FREITAS COMERCIO LTDA - EPP;;;;09/12/2016;FINALIZADO;12/12/2016;13/12/2016;SCIPIONE;1;98;45,08;4650,1;99169
SCI1368557;1368557;LIVRARIA MARGARIDA DISTRIBUIDORA E REP DE LIVROS L;;;;09/12/2016;FINALIZADO;13/12/2016;13/12/2016;SCIPIONE;7;70;108,65;2426;99199
SCI1369762;1369762;LIVROS E PAPEIS CASTELO LTDA - ME;;;;15/12/2016;FINALIZADO;15/12/2016;16/12/2016;SCIPIONE;5;9;3,26;458,67;99381
SCI1376327;1376327;PAPELARIA E LIVRARIA CHIQUINHO LTDA;;;;16/12/2016;FINALIZADO;18/12/2016;19/12/2016;SCIPIONE;1;1;0,18;28,6;99468
SCI1375915;1375915;GALLAFASSI EDITORA E DISTRIBUIDORA LTDA.;;;;20/12/2016;FINALIZADO;23/12/2016;23/12/2016;SCIPIONE;27;484;200,788;17132,9;99642
SCI1378923;1378923;SARAIVA E SICILIANO S/A;;;02/01/2017;02/01/2017;FINALIZADO;03/01/2017;04/01/2017;SCIPIONE;1;2;0,24;39,6;99889
SCI1346816;1346816;BOOKPARTNERS BRASIL EDITORA E DISTRIBUIDORA DE LIV;;;04/11/2016;04/11/2016;FINALIZADO;05/11/2016;07/11/2016;SCIPIONE;7;9;1,268;206,84;98235
SCI1347961;1347961;PATRICIA SANCHES;;;;11/11/2016;FINALIZADO;14/11/2016;17/11/2016;SCIPIONE;3;30;15,65;37,5;98416
SCI1347804;1347804;SAGARANA LIVRARIA E PAPELARIA LTDA;;;11/11/2016;11/11/2016;FINALIZADO;14/11/2016;14/11/2016;SCIPIONE;1;1;0,08;14;98423
SCI1354693;1354693;MAUA  BOOKSHOP COMERCIO DE LIVROS LIMITADA - EPP;;;21/11/2016;21/11/2016;FINALIZADO;21/11/2016;22/11/2016;SCIPIONE;1;1;0,165;17,52;98549
SCI1355660;1355660;COMERCIO DE APARAS PRIMOS DE RIO CLARO LTDA.;;;;23/11/2016;FINALIZADO;23/11/2016;24/11/2016;SCIPIONE;28;22836;21045,349;1676836,2;98606
